id,onoma_dimou_koinotitas,kodikos_koinotitas,eidos_koinotitas,kodikos_dimotikis_enotitas,onoma_dimotikis_enotitas,kodikos_neou_ota,eidos_neou_ota,onoma_neou_ota,kodikos_perifereiakis_enotitas,perifereiaki_enotita,kodikos_perifereias,perifereia,code
27,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,90030101,ΔΗΜ. ΚΟΙΝΟΤ,900301,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,9003,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100411
28,ΑΧΛΑΔΕΑΣ,90030102,ΤΟΠ. ΚΟΙΝΟΤ,900301,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,9003,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100412
29,ΒΑΘΥΤΟΠΟΥ,90030103,ΤΟΠ. ΚΟΙΝΟΤ,900301,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,9003,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100413
30,ΒΩΛΑΚΟΣ,90030104,ΤΟΠ. ΚΟΙΝΟΤ,900301,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,9003,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100414
31,ΓΡΑΝΙΤΟΥ,90030105,ΤΟΠ. ΚΟΙΝΟΤ,900301,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,9003,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100415
32,ΔΑΣΩΤΟΥ,90030106,ΤΟΠ. ΚΟΙΝΟΤ,900301,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,9003,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100416
33,ΕΞΟΧΗΣ,90030107,ΤΟΠ. ΚΟΙΝΟΤ,900301,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,9003,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100417
34,ΚΑΤΑΦΥΤΟΥ,90030108,ΤΟΠ. ΚΟΙΝΟΤ,900301,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,9003,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100409
35,ΚΑΤΩ ΒΡΟΝΤΟΥΣ,90030109,ΤΟΠ. ΚΟΙΝΟΤ,900301,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,9003,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100401
36,ΛΕΥΚΟΓΕΙΩΝ,90030110,ΤΟΠ. ΚΟΙΝΟΤ,900301,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,9003,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100402
