id,eidos_koinotitas,onoma_dimotikis_enotitas,eidos_neou_ota,onoma_neou_ota,perifereiaki_enotita,perifereia
191,ΤΟΠ. ΚΟΙΝΟΤ,ΑΓΙΟΥ ΚΟΣΜΑ,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
192,ΤΟΠ. ΚΟΙΝΟΤ,ΒΕΝΤΖΙΟΥ,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
193,ΤΟΠ. ΚΟΙΝΟΤ,ΓΟΡΓΙΑΝΗΣ,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
194,ΔΗΜ. ΚΟΙΝΟΤ,ΓΡΕΒΕΝΩΝ,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
195,ΤΟΠ. ΚΟΙΝΟΤ,ΔΟΤΣΙΚΟΥ,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
196,ΤΟΠ. ΚΟΙΝΟΤ,ΗΡΑΚΛΕΩΤΩΝ,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
197,ΤΟΠ. ΚΟΙΝΟΤ,ΘΕΟΔΩΡΟΥ ΖΙΑΚΑ,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
198,ΤΟΠ. ΚΟΙΝΟΤ,ΜΕΣΟΛΟΥΡΙΟΥ,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
199,ΤΟΠ. ΚΟΙΝΟΤ,ΠΕΡΙΒΟΛΙΟΥ,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
200,ΤΟΠ. ΚΟΙΝΟΤ,ΣΑΜΑΡΙΝΑΣ,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
201,ΤΟΠ. ΚΟΙΝΟΤ,ΣΜΙΞΗΣ,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
202,ΤΟΠ. ΚΟΙΝΟΤ,ΦΙΛΙΠΠΑΙΩΝ,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
203,ΔΗΜ. ΚΟΙΝΟΤ,ΔΕΣΚΑΤΗΣ,ΔΗΜΟΣ,ΔΕΣΚΑΤΗΣ,ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
204,ΤΟΠ. ΚΟΙΝΟΤ,ΧΑΣΙΩΝ,ΔΗΜΟΣ,ΔΕΣΚΑΤΗΣ,ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
205,ΔΗΜ. ΚΟΙΝΟΤ,ΑΓΙΑΣ ΤΡΙΑΔΟΣ,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
206,ΤΟΠ. ΚΟΙΝΟΤ,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
207,ΤΟΠ. ΚΟΙΝΟΤ,ΒΙΤΣΙΟΥ,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
208,ΔΗΜ. ΚΟΙΝΟΤ,ΚΑΣΤΟΡΙΑΣ,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
209,ΤΟΠ. ΚΟΙΝΟΤ,ΚΑΣΤΡΑΚΙΟΥ,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
210,ΤΟΠ. ΚΟΙΝΟΤ,ΚΛΕΙΣΟΥΡΑΣ,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
211,ΤΟΠ. ΚΟΙΝΟΤ,ΚΟΡΕΣΤΙΩΝ,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
212,ΤΟΠ. ΚΟΙΝΟΤ,ΜΑΚΕΔΝΩΝ,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
213,ΔΗΜ. ΚΟΙΝΟΤ,ΜΕΣΟΠΟΤΑΜΙΑΣ,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
214,ΤΟΠ. ΚΟΙΝΟΤ,ΑΚΡΙΤΩΝ,ΔΗΜΟΣ,ΝΕΣΤΟΡΙΟΥ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
215,ΤΟΠ. ΚΟΙΝΟΤ,ΑΡΡΕΝΩΝ,ΔΗΜΟΣ,ΝΕΣΤΟΡΙΟΥ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
216,ΤΟΠ. ΚΟΙΝΟΤ,ΓΡΑΜΟΥ,ΔΗΜΟΣ,ΝΕΣΤΟΡΙΟΥ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
217,ΤΟΠ. ΚΟΙΝΟΤ,ΝΕΣΤΟΡΙΟΥ,ΔΗΜΟΣ,ΝΕΣΤΟΡΙΟΥ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
218,ΔΗΜ. ΚΟΙΝΟΤ,ΑΡΓΟΥΣ ΟΡΕΣΤΙΚΟΥ,ΔΗΜΟΣ,ΟΡΕΣΤΙΔΟΣ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
219,ΤΟΠ. ΚΟΙΝΟΤ,ΙΩΝΟΣ ΔΡΑΓΟΥΜΗ,ΔΗΜΟΣ,ΟΡΕΣΤΙΔΟΣ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
220,ΔΗΜ. ΚΟΙΝΟΤ,ΑΣΚΙΟΥ,ΔΗΜΟΣ,ΒΟΪΟΥ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
221,ΔΗΜ. ΚΟΙΝΟΤ,ΝΕΑΠΟΛΗΣ,ΔΗΜΟΣ,ΒΟΪΟΥ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
222,ΤΟΠ. ΚΟΙΝΟΤ,ΠΕΝΤΑΛΟΦΟΥ,ΔΗΜΟΣ,ΒΟΪΟΥ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
223,ΔΗΜ. ΚΟΙΝΟΤ,ΣΙΑΤΙΣΤΑΣ,ΔΗΜΟΣ,ΒΟΪΟΥ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
224,ΤΟΠ. ΚΟΙΝΟΤ,ΤΣΟΤΥΛΙΟΥ,ΔΗΜΟΣ,ΒΟΪΟΥ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
225,ΤΟΠ. ΚΟΙΝΟΤ,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,ΔΗΜΟΣ,ΕΟΡΔΑΙΑΣ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
226,ΤΟΠ. ΚΟΙΝΟΤ,ΒΕΡΜΙΟΥ,ΔΗΜΟΣ,ΕΟΡΔΑΙΑΣ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
227,ΤΟΠ. ΚΟΙΝΟΤ,ΒΛΑΣΤΗΣ,ΔΗΜΟΣ,ΕΟΡΔΑΙΑΣ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
228,ΤΟΠ. ΚΟΙΝΟΤ,ΜΟΥΡΙΚΙΟΥ,ΔΗΜΟΣ,ΕΟΡΔΑΙΑΣ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
229,ΔΗΜ. ΚΟΙΝΟΤ,ΠΤΟΛΕΜΑΪΔΑΣ,ΔΗΜΟΣ,ΕΟΡΔΑΙΑΣ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
230,ΔΗΜ. ΚΟΙΝΟΤ,ΑΙΑΝΗΣ,ΔΗΜΟΣ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
231,ΤΟΠ. ΚΟΙΝΟΤ,ΔΗΜΗΤΡΙΟΥ ΥΨΗΛΑΝΤΗ,ΔΗΜΟΣ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
232,ΔΗΜ. ΚΟΙΝΟΤ,ΕΛΙΜΕΙΑΣ,ΔΗΜΟΣ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
233,ΤΟΠ. ΚΟΙΝΟΤ,ΕΛΛΗΣΠΟΝΤΟΥ,ΔΗΜΟΣ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
234,ΔΗΜ. ΚΟΙΝΟΤ,ΚΟΖΑΝΗΣ,ΔΗΜΟΣ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
235,ΔΗΜ. ΚΟΙΝΟΤ,ΒΕΛΒΕΝΤΟΥ,ΔΗΜΟΣ,ΣΕΡΒΙΩΝ-ΒΕΛΒΕΝΤΟΥ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
236,ΤΟΠ. ΚΟΙΝΟΤ,ΚΑΜΒΟΥΝΙΩΝ,ΔΗΜΟΣ,ΣΕΡΒΙΩΝ-ΒΕΛΒΕΝΤΟΥ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
237,ΤΟΠ. ΚΟΙΝΟΤ,ΛΙΒΑΔΕΡΟΥ,ΔΗΜΟΣ,ΣΕΡΒΙΩΝ-ΒΕΛΒΕΝΤΟΥ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
238,ΔΗΜ. ΚΟΙΝΟΤ,ΣΕΡΒΙΩΝ,ΔΗΜΟΣ,ΣΕΡΒΙΩΝ-ΒΕΛΒΕΝΤΟΥ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
239,ΤΟΠ. ΚΟΙΝΟΤ,ΑΕΤΟΥ,ΔΗΜΟΣ,ΑΜΥΝΤΑΙΟΥ,ΦΛΩΡΙΝΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
240,ΔΗΜ. ΚΟΙΝΟΤ,ΑΜΥΝΤΑΙΟΥ,ΔΗΜΟΣ,ΑΜΥΝΤΑΙΟΥ,ΦΛΩΡΙΝΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
241,ΤΟΠ. ΚΟΙΝΟΤ,ΒΑΡΙΚΟΥ,ΔΗΜΟΣ,ΑΜΥΝΤΑΙΟΥ,ΦΛΩΡΙΝΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
242,ΤΟΠ. ΚΟΙΝΟΤ,ΛΕΧΟΒΟΥ,ΔΗΜΟΣ,ΑΜΥΝΤΑΙΟΥ,ΦΛΩΡΙΝΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
243,ΤΟΠ. ΚΟΙΝΟΤ,ΝΥΜΦΑΙΟΥ,ΔΗΜΟΣ,ΑΜΥΝΤΑΙΟΥ,ΦΛΩΡΙΝΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
244,ΤΟΠ. ΚΟΙΝΟΤ,ΦΙΛΩΤΑ,ΔΗΜΟΣ,ΑΜΥΝΤΑΙΟΥ,ΦΛΩΡΙΝΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
245,ΤΟΠ. ΚΟΙΝΟΤ,ΚΡΥΣΤΑΛΛΟΠΗΓΗΣ,ΔΗΜΟΣ,ΠΡΕΣΠΩΝ,ΦΛΩΡΙΝΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
246,ΤΟΠ. ΚΟΙΝΟΤ,ΠΡΕΣΠΩΝ,ΔΗΜΟΣ,ΠΡΕΣΠΩΝ,ΦΛΩΡΙΝΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
247,ΤΟΠ. ΚΟΙΝΟΤ,ΚΑΤΩ ΚΛΕΙΝΩΝ,ΔΗΜΟΣ,ΦΛΩΡΙΝΑΣ,ΦΛΩΡΙΝΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
248,ΤΟΠ. ΚΟΙΝΟΤ,ΜΕΛΙΤΗΣ,ΔΗΜΟΣ,ΦΛΩΡΙΝΑΣ,ΦΛΩΡΙΝΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
249,ΤΟΠ. ΚΟΙΝΟΤ,ΠΕΡΑΣΜΑΤΟΣ,ΔΗΜΟΣ,ΦΛΩΡΙΝΑΣ,ΦΛΩΡΙΝΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
250,ΔΗΜ. ΚΟΙΝΟΤ,ΦΛΩΡΙΝΑΣ,ΔΗΜΟΣ,ΦΛΩΡΙΝΑΣ,ΦΛΩΡΙΝΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
251,ΤΟΠ. ΚΟΙΝΟΤ,ΑΜΒΡΑΚΙΚΟΥ,ΔΗΜΟΣ,ΑΡΤΑΙΩΝ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ
252,ΔΗΜ. ΚΟΙΝΟΤ,ΑΡΤΑΙΩΝ,ΔΗΜΟΣ,ΑΡΤΑΙΩΝ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ
253,ΤΟΠ. ΚΟΙΝΟΤ,ΒΛΑΧΕΡΝΩΝ,ΔΗΜΟΣ,ΑΡΤΑΙΩΝ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ
254,ΤΟΠ. ΚΟΙΝΟΤ,ΞΗΡΟΒΟΥΝΙΟΥ,ΔΗΜΟΣ,ΑΡΤΑΙΩΝ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ
255,ΤΟΠ. ΚΟΙΝΟΤ,ΦΙΛΟΘΕΗΣ,ΔΗΜΟΣ,ΑΡΤΑΙΩΝ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ
256,ΤΟΠ. ΚΟΙΝΟΤ,ΓΕΩΡΓΙΟΥ ΚΑΡΑΪΣΚΑΚΗ,ΔΗΜΟΣ,ΓΕΩΡΓΙΟΥ ΚΑΡΑΪΣΚΑΚΗ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ
257,ΤΟΠ. ΚΟΙΝΟΤ,ΗΡΑΚΛΕΙΑΣ,ΔΗΜΟΣ,ΓΕΩΡΓΙΟΥ ΚΑΡΑΪΣΚΑΚΗ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ
258,ΤΟΠ. ΚΟΙΝΟΤ,ΤΕΤΡΑΦΥΛΙΑΣ,ΔΗΜΟΣ,ΓΕΩΡΓΙΟΥ ΚΑΡΑΪΣΚΑΚΗ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ
259,ΤΟΠ. ΚΟΙΝΟΤ,ΑΓΝΑΝΤΩΝ,ΔΗΜΟΣ,ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ
260,ΤΟΠ. ΚΟΙΝΟΤ,ΑΘΑΜΑΝΙΑΣ,ΔΗΜΟΣ,ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ
261,ΤΟΠ. ΚΟΙΝΟΤ,ΘΕΟΔΩΡΙΑΝΩΝ,ΔΗΜΟΣ,ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ
262,ΤΟΠ. ΚΟΙΝΟΤ,ΜΕΛΙΣΣΟΥΡΓΩΝ,ΔΗΜΟΣ,ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ
263,ΔΗΜ. ΚΟΙΝΟΤ,ΑΡΑΧΘΟΥ,ΔΗΜΟΣ,ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ
264,ΤΟΠ. ΚΟΙΝΟΤ,ΚΟΜΜΕΝΟΥ,ΔΗΜΟΣ,ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ
265,ΔΗΜ. ΚΟΙΝΟΤ,ΚΟΜΠΟΤΙΟΥ,ΔΗΜΟΣ,ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ
266,ΔΗΜ. ΚΟΙΝΟΤ,ΠΕΤΑ,ΔΗΜΟΣ,ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ
267,ΔΗΜ. ΚΟΙΝΟΤ,ΗΓΟΥΜΕΝΙΤΣΗΣ,ΔΗΜΟΣ,ΗΓΟΥΜΕΝΙΤΣΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΗΠΕΙΡΟΥ
268,ΤΟΠ. ΚΟΙΝΟΤ,ΜΑΡΓΑΡΙΤΙΟΥ,ΔΗΜΟΣ,ΗΓΟΥΜΕΝΙΤΣΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΗΠΕΙΡΟΥ
269,ΤΟΠ. ΚΟΙΝΟΤ,ΠΑΡΑΠΟΤΑΜΟΥ,ΔΗΜΟΣ,ΗΓΟΥΜΕΝΙΤΣΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΗΠΕΙΡΟΥ
270,ΔΗΜ. ΚΟΙΝΟΤ,ΠΕΡΔΙΚΑΣ,ΔΗΜΟΣ,ΗΓΟΥΜΕΝΙΤΣΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΗΠΕΙΡΟΥ
271,ΤΟΠ. ΚΟΙΝΟΤ,ΣΥΒΟΤΩΝ,ΔΗΜΟΣ,ΗΓΟΥΜΕΝΙΤΣΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΗΠΕΙΡΟΥ
272,ΤΟΠ. ΚΟΙΝΟΤ,ΑΧΕΡΟΝΤΑ,ΔΗΜΟΣ,ΣΟΥΛΙΟΥ,ΘΕΣΠΡΩΤΙΑΣ,ΗΠΕΙΡΟΥ
273,ΔΗΜ. ΚΟΙΝΟΤ,ΠΑΡΑΜΥΘΙΑΣ,ΔΗΜΟΣ,ΣΟΥΛΙΟΥ,ΘΕΣΠΡΩΤΙΑΣ,ΗΠΕΙΡΟΥ
274,ΤΟΠ. ΚΟΙΝΟΤ,ΣΟΥΛΙΟΥ,ΔΗΜΟΣ,ΣΟΥΛΙΟΥ,ΘΕΣΠΡΩΤΙΑΣ,ΗΠΕΙΡΟΥ
275,ΤΟΠ. ΚΟΙΝΟΤ,ΣΑΓΙΑΔΑΣ,ΔΗΜΟΣ,ΦΙΛΙΑΤΩΝ,ΘΕΣΠΡΩΤΙΑΣ,ΗΠΕΙΡΟΥ
276,ΔΗΜ. ΚΟΙΝΟΤ,ΦΙΛΙΑΤΩΝ,ΔΗΜΟΣ,ΦΙΛΙΑΤΩΝ,ΘΕΣΠΡΩΤΙΑΣ,ΗΠΕΙΡΟΥ
277,ΤΟΠ. ΚΟΙΝΟΤ,ΒΑΘΥΠΕΔΟΥ,ΔΗΜΟΣ,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
278,ΤΟΠ. ΚΟΙΝΟΤ,ΚΑΛΑΡΡΥΤΩΝ,ΔΗΜΟΣ,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
279,ΤΟΠ. ΚΟΙΝΟΤ,ΚΑΤΣΑΝΟΧΩΡΙΩΝ,ΔΗΜΟΣ,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
280,ΤΟΠ. ΚΟΙΝΟΤ,ΜΑΤΣΟΥΚΙΟΥ,ΔΗΜΟΣ,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
281,ΤΟΠ. ΚΟΙΝΟΤ,ΠΡΑΜΑΝΤΩΝ,ΔΗΜΟΣ,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
282,ΤΟΠ. ΚΟΙΝΟΤ,ΣΥΡΡΑΚΟΥ,ΔΗΜΟΣ,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
283,ΤΟΠ. ΚΟΙΝΟΤ,ΤΖΟΥΜΕΡΚΩΝ,ΔΗΜΟΣ,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
284,ΤΟΠ. ΚΟΙΝΟΤ,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,ΔΗΜΟΣ,ΔΩΔΩΝΗΣ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
285,ΤΟΠ. ΚΟΙΝΟΤ,ΔΩΔΩΝΗΣ,ΔΗΜΟΣ,ΔΩΔΩΝΗΣ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
286,ΤΟΠ. ΚΟΙΝΟΤ,ΛΑΚΚΑΣ ΣΟΥΛΙΟΥ,ΔΗΜΟΣ,ΔΩΔΩΝΗΣ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
287,ΤΟΠ. ΚΟΙΝΟΤ,ΣΕΛΛΩΝ,ΔΗΜΟΣ,ΔΩΔΩΝΗΣ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
288,ΤΟΠ. ΚΟΙΝΟΤ,ΑΝΑΤΟΛΙΚΟΥ ΖΑΓΟΡΙΟΥ,ΔΗΜΟΣ,ΖΑΓΟΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
289,ΤΟΠ. ΚΟΙΝΟΤ,ΒΟΒΟΥΣΗΣ,ΔΗΜΟΣ,ΖΑΓΟΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
290,ΤΟΠ. ΚΟΙΝΟΤ,ΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,ΔΗΜΟΣ,ΖΑΓΟΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
291,ΤΟΠ. ΚΟΙΝΟΤ,ΠΑΠΙΓΚΟΥ,ΔΗΜΟΣ,ΖΑΓΟΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
292,ΤΟΠ. ΚΟΙΝΟΤ,ΤΥΜΦΗΣ,ΔΗΜΟΣ,ΖΑΓΟΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
293,ΤΟΠ. ΚΟΙΝΟΤ,ΕΚΑΛΗΣ,ΔΗΜΟΣ,ΖΙΤΣΑΣ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
294,ΤΟΠ. ΚΟΙΝΟΤ,ΕΥΡΥΜΕΝΩΝ,ΔΗΜΟΣ,ΖΙΤΣΑΣ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
295,ΤΟΠ. ΚΟΙΝΟΤ,ΖΙΤΣΑΣ,ΔΗΜΟΣ,ΖΙΤΣΑΣ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
