project_id,monada_id,kallikratis_id,event_types_id,expediture_type_id
96,4,5001,16,3
96,4,5001,16,4
96,4,5001,16,5
97,2,5001,8,1
97,2,5001,8,3
97,2,5001,8,4
97,2,5001,8,5
98,11,5001,13,1
98,11,5001,13,3
98,11,5001,13,4
99,2,5001,7,2
99,2,5001,12,2
100,7,5001,12,1
100,7,5001,12,3
100,7,5001,12,4
100,7,5001,12,5
101,11,5001,13,1
101,11,5001,13,3
101,11,5001,13,4
102,7,5001,7,2
102,7,5001,12,2
103,7,5001,7,2
103,7,5001,10,2
104,7,5001,12,1
104,7,5001,12,3
104,7,5001,12,4
104,7,5001,12,5
105,7,5001,8,1
105,7,5001,8,3
105,7,5001,8,4
105,7,5001,8,5
106,2,5001,12,1
106,2,5001,12,3
106,2,5001,12,4
106,2,5001,12,5
107,2,5001,12,1
107,2,5001,12,3
107,2,5001,12,4
107,2,5001,12,5
108,1,5001,6,6
108,1,5001,9,6
109,11,5001,13,1
109,11,5001,13,3
109,11,5001,13,4
110,11,5001,12,1
110,11,5001,12,3
110,11,5001,12,4
111,11,5001,13,1
111,11,5001,13,3
111,11,5001,13,4
112,1,5001,6,6
112,1,5001,11,6
113,2,5001,3,1
113,2,5001,3,3
113,2,5001,3,4
113,2,5001,3,5
114,2,5001,13,1
114,2,5001,13,3
114,2,5001,13,4
114,2,5001,13,5
115,11,5001,13,1
115,11,5001,13,3
115,11,5001,13,4
116,11,5001,13,1
116,11,5001,13,3
116,11,5001,13,4
117,11,5001,13,1
117,11,5001,13,3
117,11,5001,13,4
118,11,5001,10,1
118,11,5001,10,3
118,11,5001,10,4
119,11,5001,10,1
119,11,5001,10,3
119,11,5001,10,4
120,2,5001,5,1
120,2,5001,5,2
120,2,5001,5,3
120,2,5001,5,4
120,2,5001,6,1
120,2,5001,6,2
120,2,5001,6,3
120,2,5001,6,4
121,11,5001,3,1
121,11,5001,3,3
121,11,5001,3,4
122,11,5001,10,1
122,11,5001,10,3
122,11,5001,10,4
123,4,5001,7,2
123,4,5001,12,2
124,2,5001,7,2
124,2,5001,10,2
125,1,5001,3,1
125,1,5001,3,3
125,1,5001,3,4
