project_id,monada_id,kallikratis_id,event_types_id,expediture_type_id,geographic_code,id
138,5,1,12,4,,58
138,5,1,12,5,,251
139,6,1,12,1,,145
139,6,1,12,3,,59
139,6,1,12,4,,365
139,6,1,12,5,,478
140,5,1,10,1,,363
140,5,1,10,3,,526
140,5,1,10,4,,529
140,5,1,10,5,,481
141,7,1,10,1,,198
141,7,1,10,3,,414
141,7,1,10,4,,252
141,7,1,10,5,,476
143,2,1,10,1,,412
143,2,1,10,3,,256
143,2,1,10,4,,309
143,2,1,10,5,,479
144,5,1,13,1,,146
144,5,1,13,3,,65
144,5,1,13,4,,61
144,5,1,13,5,,366
145,2,1,3,1,,144
145,2,1,3,3,,199
145,2,1,3,4,,307
145,2,1,3,5,,477
146,4,1,10,1,,362
146,4,1,10,3,,201
146,4,1,10,4,,148
146,4,1,10,5,,364
147,2,1,10,1,,528
147,2,1,10,3,,530
147,2,1,10,4,,63
147,2,1,10,5,,253
148,10,1,8,1,,416
148,10,1,8,3,,203
148,10,1,8,4,,413
148,10,1,8,5,,308
149,4,1,10,1,,69
149,4,1,10,3,,254
149,4,1,10,4,,200
149,4,1,10,5,,67
150,2,1,12,1,,62
150,2,1,12,3,,64
150,2,1,12,4,,66
150,2,1,12,5,,527
151,2,1,10,1,,157
151,2,1,10,3,,204
151,2,1,10,4,,417
151,2,1,10,5,,312
152,4,1,16,1,,375
152,4,1,16,3,,367
152,4,1,16,4,,418
152,4,1,16,5,,72
153,2,1,10,1,,71
153,2,1,10,3,,73
153,2,1,10,4,,206
153,2,1,10,5,,482
154,1,1,10,1,,314
154,1,1,10,3,,419
154,1,1,10,4,,313
154,1,1,10,5,,205
155,4,1,10,1,,149
155,4,1,10,3,,533
155,4,1,10,4,,74
155,4,1,10,5,,531
156,5,1,13,1,,483
156,5,1,13,3,,257
156,5,1,13,4,,369
156,5,1,13,5,,368
157,2,1,8,1,,75
157,2,1,8,3,,489
157,2,1,8,4,,76
157,2,1,8,5,,79
158,5,1,10,1,,258
158,5,1,10,3,,78
158,5,1,10,4,,420
158,5,1,10,5,,150
159,2,1,10,1,,424
159,2,1,10,3,,370
159,2,1,10,4,,315
159,2,1,10,5,,262
160,2,1,10,1,,532
160,2,1,10,2,,486
160,2,1,10,3,,259
160,2,1,10,4,,77
160,2,1,10,5,,151
161,4,1,10,1,,319
161,4,1,10,3,,209
161,4,1,10,4,,207
161,4,1,10,5,,156
162,4,1,3,1,,82
162,4,1,3,3,,484
162,4,1,3,4,,421
162,4,1,3,5,,80
163,4,1,10,1,,316
163,4,1,10,3,,265
163,4,1,10,4,,534
163,4,1,10,5,,152
164,8,1,10,1,,81
164,8,1,10,3,,371
164,8,1,10,4,,86
164,8,1,10,5,,422
165,5,1,3,1,,90
165,5,1,3,3,,538
165,5,1,3,4,,84
165,5,1,3,5,,208
166,2,1,8,1,,321
166,2,1,8,3,,83
166,2,1,8,4,,535
166,2,1,8,5,,540
167,5,1,3,1,,372
167,5,1,3,3,,212
167,5,1,3,4,,153
167,5,1,3,5,,536
168,2,1,10,1,,260
168,2,1,10,3,,317
168,2,1,10,4,,485
168,2,1,10,5,,373
169,5,1,10,1,,158
169,5,1,10,3,,85
169,5,1,10,4,,376
169,5,1,10,5,,91
170,2,1,10,1,,318
170,2,1,10,3,,487
170,2,1,10,4,,374
170,2,1,10,5,,537
171,5,1,12,1,,214
171,5,1,12,3,,155
171,5,1,12,4,,210
171,5,1,12,5,,261
172,2,1,8,1,,264
172,2,1,8,3,,211
172,2,1,8,4,,154
172,2,1,8,5,,425
173,4,1,10,1,,488
173,4,1,10,3,,87
173,4,1,10,4,,263
173,4,1,10,5,,423
174,2,1,10,1,,320
174,2,1,10,3,,92
174,2,1,10,4,,88
174,2,1,10,5,,266
175,11,1,13,1,,490
175,11,1,13,3,,213
175,11,1,13,4,,539
175,11,1,13,5,,89
176,6,1,13,1,,273
176,6,1,13,3,,322
176,6,1,13,4,,215
176,6,1,13,5,,159
177,4,1,10,1,,323
177,4,1,10,3,,93
177,4,1,10,4,,541
177,4,1,10,5,,492
178,7,1,10,1,,377
178,7,1,10,3,,426
178,7,1,10,4,,378
178,7,1,10,5,,160
179,5,1,10,1,,216
179,5,1,10,3,,268
179,5,1,10,4,,94
179,5,1,10,5,,267
180,4,1,3,1,,427
180,4,1,3,3,,96
180,4,1,3,4,,162
180,4,1,3,5,,95
181,4,1,10,1,,491
181,4,1,10,3,,379
181,4,1,10,4,,327
181,4,1,10,5,,97
182,4,1,10,1,,161
182,4,1,10,3,,269
182,4,1,10,4,,324
182,4,1,10,5,,270
183,2,1,10,1,,217
183,2,1,10,3,,493
183,2,1,10,4,,328
183,2,1,10,5,,542
184,1,1,8,1,,98
184,1,1,8,3,,428
184,1,1,8,4,,102
184,1,1,8,5,,429
185,4,1,10,1,,544
185,4,1,10,3,,543
185,4,1,10,4,,494
185,4,1,10,5,,166
187,2,1,10,1,,272
187,2,1,10,3,,495
187,2,1,10,4,,218
187,2,1,10,5,,271
188,1,1,13,1,,221
188,1,1,13,3,,164
188,1,1,13,4,,433
188,1,1,13,5,,165
190,2,1,13,1,,99
190,2,1,13,3,,103
190,2,1,13,4,,325
190,2,1,13,5,,101
191,2,1,10,1,,546
191,2,1,10,3,,430
191,2,1,10,4,,381
191,2,1,10,5,,497
192,5,1,13,1,,220
192,5,1,13,3,,547
192,5,1,13,4,,432
192,5,1,13,5,,100
193,5,1,12,1,,219
193,5,1,12,3,,380
193,5,1,12,4,,496
193,5,1,12,5,,498
194,2,1,12,1,,545
194,2,1,12,3,,326
194,2,1,12,4,,163
194,2,1,12,5,,431
