project_index_id,muni_code
1891,9063
1892,9063
1893,9063
1906,9123
1906,9130
1906,9135
1907,9123
1907,9130
1907,9135
1908,9123
1908,9130
1908,9135
1909,9123
1909,9130
1909,9135
1918,9296
1919,9296
1920,9296
1921,9296
1930,9123
1930,9165
1931,9123
1931,9165
1932,9123
1932,9165
1933,9123
1933,9165
1938,9264
1939,9264
1940,9264
1941,9158
1941,9165
1942,9158
1942,9165
1943,9158
1943,9165
1944,9158
1944,9165
1953,9061
1953,9066
1954,9061
1954,9066
1955,9061
1955,9066
1963,9117
1963,9120
1964,9117
1964,9120
1971,9117
1971,9120
1979,9061
1979,9066
1980,9061
1980,9066
1981,9061
1981,9066
1989,9130
1990,9130
1991,9130
1992,9130
1997,9006
1998,9006
1999,9006
2000,9006
2001,9073
2001,9081
2001,9083
2001,9084
2001,9085
2001,9086
2001,9087
2001,9088
2001,9089
2001,9090
2001,9156
2001,9162
2002,9073
2002,9081
2002,9083
2002,9084
2002,9085
2002,9086
2002,9087
2002,9088
2002,9089
2002,9090
2002,9156
2002,9162
2003,9073
2003,9081
2003,9083
2003,9084
2003,9085
2003,9086
2003,9087
2003,9088
2003,9089
2003,9090
2003,9156
2003,9162
2004,9073
2004,9081
2004,9083
2004,9084
2004,9085
2004,9086
2004,9087
2004,9088
2004,9089
2004,9090
2004,9156
2004,9162
2009,9128
2010,9128
2011,9128
2012,9128
2101,9302
2101,9304
2101,9308
2101,9316
2101,9317
2101,9318
2101,9319
2101,9321
2101,9322
2101,9323
2101,9324
2101,9325
2102,9302
2102,9304
2102,9308
2102,9316
2102,9317
2102,9318
2102,9319
2102,9321
2102,9322
2102,9323
2102,9324
2102,9325
2103,9302
2103,9304
2103,9308
2103,9316
2103,9317
2103,9318
2103,9319
2103,9321
2103,9322
2103,9323
2103,9324
2103,9325
2104,9302
2104,9304
2104,9308
2104,9316
2104,9317
2104,9318
2104,9319
2104,9321
2104,9322
2104,9323
2104,9324
2104,9325
2165,9117
2165,9120
2165,9121
2165,9123
2166,9117
2166,9120
2166,9121
2166,9123
2167,9117
2167,9120
2167,9121
2167,9123
2168,9117
2168,9120
2168,9121
2168,9123
2181,9136
2181,9137
2181,9138
2181,9141
2182,9136
2182,9137
2182,9138
2182,9141
2183,9136
2183,9137
2183,9138
2183,9141
2184,9136
2184,9137
2184,9138
2184,9141
2245,9173
2245,9174
2245,9180
2245,9182
2245,9184
2245,9185
2245,9193
2245,9214
2245,9215
2245,9217
2245,9220
2245,9232
2246,9173
2246,9174
2246,9180
2246,9182
2246,9184
2246,9185
2246,9193
2246,9214
2246,9215
2246,9217
2246,9220
2246,9232
2247,9173
2247,9174
2247,9180
2247,9182
2247,9184
2247,9185
2247,9193
2247,9214
2247,9215
2247,9217
2247,9220
2247,9232
2248,9173
2248,9174
2248,9180
2248,9182
2248,9184
2248,9185
2248,9193
2248,9214
2248,9215
2248,9217
2248,9220
2248,9232
2297,9139
2298,9139
2299,9139
2300,9139
2309,9130
2309,9135
2310,9130
2310,9135
2311,9130
2311,9135
2312,9130
2312,9135
2325,9053
2325,9054
2326,9053
2326,9054
2327,9053
2327,9054
2328,9053
2328,9054
2353,9097
2353,9237
2353,9238
2353,9239
2353,9240
2354,9097
2354,9237
2354,9238
2354,9239
2354,9240
2355,9097
2355,9237
2355,9238
2355,9239
2355,9240
2356,9097
2356,9237
2356,9238
2356,9239
2356,9240
2373,9248
2373,9253
2374,9248
2374,9253
2375,9248
2375,9253
2376,9248
2376,9253
2381,9261
2382,9261
2387,9125
2388,9125
2389,9125
2390,9125
2395,9011
2396,9011
2397,9011
2398,9011
2427,9026
2427,9061
