project_id,monada_id,event_types_id,expenditure_type_id,id
50,2,12,5,2577
50,2,12,3,2578
122,5,10,3,2627
122,5,10,1,2628
122,5,10,4,2629
122,5,10,5,2630
51,2,12,3,2667
51,2,12,4,2668
51,2,12,1,2669
51,2,12,5,2670
