id,kodikos_dimotikis_enotitas,onoma_dimotikis_enotitas,kodikos_neou_ota,eidos_neou_ota,onoma_neou_ota,kodikos_perifereiakis_enotitas,perifereiaki_enotita,kodikos_perifereias,perifereia
45,901902,ΚΕΧΡΟΥ,9019,ΔΗΜΟΣ,ΑΡΡΙΑΝΩΝ,106,ΡΟΔΟΠΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
46,901903,ΟΡΓΑΝΗΣ,9019,ΔΗΜΟΣ,ΑΡΡΙΑΝΩΝ,106,ΡΟΔΟΠΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
47,901904,ΦΙΛΛΥΡΑΣ,9019,ΔΗΜΟΣ,ΑΡΡΙΑΝΩΝ,106,ΡΟΔΟΠΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
48,902001,ΑΜΑΞΑΔΩΝ,9020,ΔΗΜΟΣ,ΙΑΣΜΟΥ,106,ΡΟΔΟΠΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
49,902002,ΙΑΣΜΟΥ,9020,ΔΗΜΟΣ,ΙΑΣΜΟΥ,106,ΡΟΔΟΠΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
50,902003,ΣΩΣΤΟΥ,9020,ΔΗΜΟΣ,ΙΑΣΜΟΥ,106,ΡΟΔΟΠΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
51,902101,ΑΙΓΕΙΡΟΥ,9021,ΔΗΜΟΣ,ΚΟΜΟΤΗΝΗΣ,106,ΡΟΔΟΠΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
52,902102,ΚΟΜΟΤΗΝΗΣ,9021,ΔΗΜΟΣ,ΚΟΜΟΤΗΝΗΣ,106,ΡΟΔΟΠΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
53,902103,ΝΕΟΥ ΣΙΔΗΡΟΧΩΡΙΟΥ,9021,ΔΗΜΟΣ,ΚΟΜΟΤΗΝΗΣ,106,ΡΟΔΟΠΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
54,902201,ΜΑΡΩΝΕΙΑΣ,9022,ΔΗΜΟΣ,ΜΑΡΩΝΕΙΑΣ-ΣΑΠΩΝ,106,ΡΟΔΟΠΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
55,902202,ΣΑΠΩΝ,9022,ΔΗΜΟΣ,ΜΑΡΩΝΕΙΑΣ-ΣΑΠΩΝ,106,ΡΟΔΟΠΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
56,902301,ΑΛΕΞΑΝΔΡΕΙΑΣ,9023,ΔΗΜΟΣ,ΑΛΕΞΑΝΔΡΕΙΑΣ,201,ΗΜΑΘΙΑΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
57,902302,ΑΝΤΙΓΟΝΙΔΩΝ,9023,ΔΗΜΟΣ,ΑΛΕΞΑΝΔΡΕΙΑΣ,201,ΗΜΑΘΙΑΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
